date_published;package;version trusty i386;DownloadCount trusty i386
17.03.2015;python-pandas;0.16.0;43
28.02.2015;python-xlrd;0.9.3;35
19.03.2015;python-statsmodels;0.7.0;25
22.11.2014;python-ggplot;0.3.0;11
17.03.2015;python-pandas-lib;0.16.0;11
03.11.2013;python-gloo;0.0.1;8
04.03.2015;python-patsy;0.4;8
19.03.2015;python-scikits.statsmodels;0.7.0;5
21.10.2013;python-scikits-timeseries;0.91.3;3
13.03.2015;python-seaborn;0.6.0;2
28.02.2015;python3-xlrd;0.9.3;2
13.03.2015;python3-seaborn;0.6.0;2
12.03.2015;python-folium;0.1.2;1
19.03.2015;python-statsmodels-doc;0.7.0;1
19.03.2015;python-statsmodels-lib;0.7.0;1
21.03.2015;python-xlsxwriter;0.6.4;0
20.03.2015;python-bottleneck;0.7.0;0
28.01.2015;python-vincent;0.4.1;0
22.03.2015;python-spyderlib;2.4.0;0
21.03.2015;python-pvlib;0.3.0;0
01.03.2015;python-mpltools;0.2.0;0
22.03.2015;spyder;2.4.0;0
